Time ,Device ,Event Type ,Elapse Time ,Errors,Comment
10/11/2011 13:03:33,Proxy Or Inband ,HTTP Log In 
08/11/2011 16:53:30,Enc#3 001 ,Device Failed 
08/11/2011 16:53:30,Raid Set OS ,RaidSet Degraded 
08/11/2011 16:53:28,RAID1 ,Volume Degraded 
08/11/2011 16:53:27,Enc#3 001 ,Reading Error 
08/11/2011 16:53:20,Enc#3 001 ,Reading Error 
08/11/2011 16:53:16,Enc#3 001 ,Reading Error 
08/11/2011 16:53:11,Enc#3 001 ,Reading Error 
08/11/2011 16:53:04,Enc#3 001 ,Reading Error 
17/10/2011 11:01:04,Proxy Or Inband ,HTTP Log In 
14/10/2011 18:40:40,Enc#4 023 ,PassThrough Disk Created 
14/10/2011 18:40:19,Enc#4 023 ,PassThrough Disk Deleted 
14/10/2011 18:21:06,Enc#4 023 ,PassThrough Disk Modified 
14/10/2011 18:17:23,Proxy Or Inband ,HTTP Log In 
14/10/2011 16:57:42,Proxy Or Inband ,HTTP Log In 
13/10/2011 16:23:34,Proxy Or Inband ,HTTP Log In 
04/10/2011 11:50:42,Enc#4 023 ,PassThrough Disk Created 
04/10/2011 11:49:03,Proxy Or Inband ,HTTP Log In 
29/09/2011 11:11:50,Proxy Or Inband ,HTTP Log In 
28/09/2011 12:23:53,Proxy Or Inband ,HTTP Log In 
23/09/2011 20:42:44,Proxy Or Inband ,HTTP Log In 
22/09/2011 15:17:03,Proxy Or Inband ,HTTP Log In 
22/09/2011 14:33:40,H/W Monitor ,Raid Powered On 
19/09/2011 11:51:26,Proxy Or Inband ,HTTP Log In 
17/09/2011 19:12:35,R60Vol2-1 ,Complete Rebuild ,15:32:48
17/09/2011 11:33:07,Proxy Or Inband ,HTTP Log In 
17/09/2011 03:40:07,R60Vol2-1 ,Start Rebuilding 
17/09/2011 03:40:05,Raid Set A ,Rebuild RaidSet 
17/09/2011 03:40:05,Enc#3 003 ,Device Inserted 
17/09/2011 03:40:05,Enc#3 003 ,Device Removed 
17/09/2011 03:40:05,Raid Set A ,RaidSet Degraded 
17/09/2011 03:40:03,R60Vol2-1 ,Volume Degraded 
17/09/2011 03:39:57,Enc#3 003 ,Time Out Error 
17/09/2011 03:38:33,Enc#3 003 ,Time Out Error 
16/09/2011 19:25:17,Enc#3 003 ,Time Out Error 
16/09/2011 13:36:10,Enc#3 003 ,Time Out Error 
13/09/2011 16:57:19,Proxy Or Inband ,HTTP Log In 
29/08/2011 18:06:36,Proxy Or Inband ,HTTP Log In 
29/08/2011 18:02:36,Proxy Or Inband ,HTTP Log In 
29/08/2011 17:55:00,Proxy Or Inband ,HTTP Log In 
29/08/2011 17:53:08,H/W Monitor ,Raid Powered On 
29/08/2011 17:49:03,H/W Monitor ,Raid Powered On ,,,Moved RAID Set B to right cabinet. RAID Set A (master) untouched.
18/08/2011 22:04:39,Proxy Or Inband ,HTTP Log In 
18/08/2011 15:28:31,Proxy Or Inband ,HTTP Log In 
18/08/2011 15:21:36,H/W Monitor ,Raid Powered On 
18/08/2011 08:55:31,Proxy Or Inband ,HTTP Log In 
17/08/2011 14:36:47,Proxy Or Inband ,HTTP Log In 
15/08/2011 15:35:26,Proxy Or Inband ,HTTP Log In 
12/08/2011 20:46:04,H/W Monitor ,Raid Powered On 
12/08/2011 19:07:49,H/W Monitor ,Raid Powered On 
12/08/2011 18:59:33,Proxy Or Inband ,HTTP Log In 
12/08/2011 18:19:12,H/W Monitor ,Raid Powered On 
12/08/2011 18:16:55,H/W Monitor ,Raid Powered On 
12/08/2011 18:14:53,RS232 Terminal ,VT100 Log In 
12/08/2011 17:25:34,RAID1 ,Complete Rebuild ,02:31:45
12/08/2011 15:03:26,Enc#4 023 ,PassThrough Disk Created 
12/08/2011 15:01:49,RS232 Terminal ,VT100 Log In 
12/08/2011 15:01:22,Enc#4 023 ,Device Inserted 
12/08/2011 14:53:48,RAID1 ,Start Rebuilding 
12/08/2011 14:53:46,Raid Set OS ,Rebuild RaidSet 
12/08/2011 14:53:46,Enc#3 001 ,Device Inserted ,,,Changed drive with new one at 10:53am
12/08/2011 14:52:07,RS232 Terminal ,VT100 Log In 
12/08/2011 14:51:42,H/W Monitor ,Raid Powered On 
12/08/2011 10:37:54,Enc#3 001 ,Device Removed ,,,Cluster went down
12/08/2011 10:37:54,Raid Set OS ,RaidSet Degraded 
12/08/2011 10:37:52,RAID1 ,Abort Rebuilding ,12:11:12
12/08/2011 10:37:52,RAID1 ,Volume Degraded 
11/08/2011 22:37:08,Enc#3 001 ,Time Out Error 
11/08/2011 22:26:48,Enc#3 001 ,Time Out Error 
11/08/2011 22:26:40,RAID1 ,Start Rebuilding 
11/08/2011 22:26:38,Raid Set OS ,Rebuild RaidSet 
11/08/2011 22:26:38,Enc#3 001 ,Device Inserted 
11/08/2011 22:26:31,Enc#3 001 ,Device Removed 
11/08/2011 22:26:30,Raid Set OS ,RaidSet Degraded 
11/08/2011 22:26:28,RAID1 ,Abort Rebuilding ,03:18:48
11/08/2011 22:26:28,RAID1 ,Volume Degraded 
11/08/2011 22:26:23,Enc#3 001 ,Time Out Error 
11/08/2011 22:20:58,Enc#3 001 ,Time Out Error 
11/08/2011 19:07:40,RAID1 ,Start Rebuilding 
11/08/2011 19:07:38,Raid Set OS ,Rebuild RaidSet 
11/08/2011 19:07:38,Enc#3 001 ,Device Inserted 
11/08/2011 19:07:32,Enc#3 001 ,Device Removed 
11/08/2011 19:07:32,Raid Set OS ,RaidSet Degraded 
11/08/2011 19:07:30,RAID1 ,Abort Rebuilding ,03:18:10
11/08/2011 19:07:30,RAID1 ,Volume Degraded 
11/08/2011 19:07:24,Enc#3 001 ,Time Out Error 
11/08/2011 15:49:19,RAID1 ,Start Rebuilding 
11/08/2011 15:49:17,Raid Set OS ,Rebuild RaidSet 
11/08/2011 15:49:17,Enc#3 001 ,Device Inserted 
11/08/2011 15:49:15,Enc#3 001 ,Device Removed 
11/08/2011 15:49:15,Raid Set OS ,RaidSet Degraded 
11/08/2011 15:49:13,RAID1 ,Abort Rebuilding ,03:18:31
11/08/2011 15:49:13,RAID1 ,Volume Degraded 
11/08/2011 15:49:07,Enc#3 001 ,Time Out Error 
11/08/2011 12:42:33,Proxy Or Inband ,HTTP Log In 
11/08/2011 12:31:03,RAID1 ,Start Rebuilding 
11/08/2011 12:31:01,Raid Set OS ,Rebuild RaidSet 
11/08/2011 12:31:00,Enc#3 001 ,Device Inserted 
11/08/2011 12:30:44,Enc#3 001 ,Device Removed 
11/08/2011 12:30:43,Raid Set OS ,RaidSet Degraded 
11/08/2011 12:30:41,RAID1 ,Volume Degraded 
11/08/2011 12:30:36,Enc#3 001 ,Time Out Error 
10/08/2011 10:40:22,Proxy Or Inband ,HTTP Log In 
10/08/2011 10:34:35,SW API Interface ,API Log In 
09/08/2011 08:00:58,Enc#3 001 ,Reading Error 
05/08/2011 10:17:09,Proxy Or Inband ,HTTP Log In 
05/08/2011 08:36:42,Proxy Or Inband ,HTTP Log In 
05/08/2011 08:36:36,RAID1 ,Complete Rebuild ,03:22:08
05/08/2011 06:23:16,Enc#3 001 ,Time Out Error 
05/08/2011 05:14:28,RAID1 ,Start Rebuilding 
05/08/2011 05:14:26,Raid Set OS ,Rebuild RaidSet 
05/08/2011 05:14:26,Enc#3 001 ,Device Inserted 
05/08/2011 05:13:14,Enc#3 001 ,Device Removed 
05/08/2011 05:13:14,Raid Set OS ,RaidSet Degraded 
05/08/2011 05:13:12,RAID1 ,Volume Degraded 
05/08/2011 05:13:06,Enc#3 001 ,Time Out Error 
05/08/2011 05:12:54,RAID1 ,Complete Rebuild ,03:23:40
05/08/2011 05:11:57,Enc#3 001 ,Time Out Error 
05/08/2011 01:49:13,RAID1 ,Start Rebuilding 
05/08/2011 01:49:11,Raid Set OS ,Rebuild RaidSet 
05/08/2011 01:49:11,Enc#3 001 ,Device Inserted 
05/08/2011 01:48:13,Enc#3 001 ,Device Removed 
05/08/2011 01:48:12,Raid Set OS ,RaidSet Degraded 
05/08/2011 01:48:10,RAID1 ,Abort Rebuilding ,03:21:13
05/08/2011 01:48:10,RAID1 ,Volume Degraded 
05/08/2011 01:48:04,Enc#3 001 ,Time Out Error 
04/08/2011 22:30:48,Proxy Or Inband ,HTTP Log In 
04/08/2011 22:26:56,RAID1 ,Start Rebuilding 
04/08/2011 22:26:54,Raid Set OS ,Rebuild RaidSet 
04/08/2011 22:26:54,Enc#3 001 ,Device Inserted 
04/08/2011 22:26:53,Enc#3 001 ,Device Removed 
04/08/2011 22:26:52,Raid Set OS ,RaidSet Degraded 
04/08/2011 22:26:50,RAID1 ,Volume Degraded 
04/08/2011 22:26:45,Enc#3 001 ,Time Out Error 
04/08/2011 22:26:33,RAID1 ,Complete Rebuild ,03:59:09
04/08/2011 18:27:29,RAID1 ,Start Rebuilding ,,,Time is right
04/08/2011 18:27:27,Raid Set OS ,Rebuild RaidSet 
04/08/2011 18:27:27,Enc#3 001 ,Device Inserted 
04/08/2011 18:27:26,Enc#3 001 ,Device Removed 
04/08/2011 18:27:26,Raid Set OS ,RaidSet Degraded 
04/08/2011 18:27:24,RAID1 ,Volume Degraded 
04/08/2011 18:27:18,Enc#3 001 ,Time Out Error 
04/08/2011 16:08:12,Enc#3 001 ,Reading Error 
04/08/2011 13:43:34,Proxy Or Inband ,HTTP Log In 
03/08/2011 11:59:11,Proxy Or Inband ,HTTP Log In 
02/08/2011 09:24:48,Proxy Or Inband ,HTTP Log In 
02/08/2011 09:22:13,Proxy Or Inband ,HTTP Log In 
02/08/2011 09:22:07,Proxy Or Inband ,HTTP Log In 
01/08/2011 09:55:52,Proxy Or Inband ,HTTP Log In 
29/07/2011 11:14:49,Proxy Or Inband ,HTTP Log In 
28/07/2011 11:36:23,Proxy Or Inband ,HTTP Log In 
27/07/2011 07:54:18,Enc#3 003 ,Time Out Error ,,,Time is bad. Probably was 12:54?
27/07/2011 07:54:07,Enc#3 003 ,Time Out Error 
26/07/2011 10:07:11,Proxy Or Inband ,HTTP Log In 
25/07/2011 14:28:43,Proxy Or Inband ,HTTP Log In 
23/07/2011 17:34:20,H/W Monitor ,Raid Powered On 
23/07/2011 12:07:40,Proxy Or Inband ,HTTP Log In 
22/07/2011 15:11:16,Proxy Or Inband ,HTTP Log In 
22/07/2011 13:46:01,Proxy Or Inband ,HTTP Log In 
22/07/2011 12:06:18,Proxy Or Inband ,HTTP Log In 
21/07/2011 20:00:47,Proxy Or Inband ,HTTP Log In ,,,Time is now bad... Login time was ~16h
21/07/2011 18:35:07,H/W Monitor ,Raid Powered On 
21/07/2011 18:13:58,H/W Monitor ,Raid Powered On 
21/07/2011 18:04:59,H/W Monitor ,Raid Powered On 
21/07/2011 17:53:29,H/W Monitor ,Raid Powered On 
21/07/2011 17:49:52,H/W Monitor ,Raid Powered On 
20/07/2011 10:52:07,Enc#3 001 ,Reading Error 
19/07/2011 13:56:13,Proxy Or Inband ,HTTP Log In 
19/07/2011 00:24:34,H/W Monitor ,Raid Powered On 
18/07/2011 16:58:44,H/W Monitor ,Raid Powered On 
18/07/2011 16:57:24,Proxy Or Inband ,HTTP Log In 
18/07/2011 15:11:48,H/W Monitor ,Raid Powered On 
18/07/2011 10:22:34,Proxy Or Inband ,HTTP Log In ,,,Logged in at 10:22 am: time is ok
15/07/2011 09:33:29,Enc#3 001 ,Reading Error 
14/07/2011 16:00:26,Proxy Or Inband ,HTTP Log In 
08/07/2011 13:27:42,Proxy Or Inband ,HTTP Log In ,,,Logged in at 9:27 am: 4 hours before what is saved in log
08/07/2011 00:13:49,H/W Monitor ,Raid Powered On 
08/07/2011 00:12:06,H/W Monitor ,Raid Powered On 
08/07/2011 00:00:27,H/W Monitor ,Raid Powered On 
07/07/2011 23:33:40,H/W Monitor ,Raid Powered On 
07/07/2011 23:30:59,H/W Monitor ,Raid Powered On 
07/07/2011 23:13:28,H/W Monitor ,Raid Powered On 
07/07/2011 09:58:43,Proxy Or Inband ,HTTP Log In 
06/07/2011 19:16:29,Proxy Or Inband ,HTTP Log In 
06/07/2011 13:37:46,Proxy Or Inband ,HTTP Log In 
05/07/2011 21:04:57,Enc#3 001 ,Time Out Error 
